0001,BO338005000,00,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0002,BO407017000,00,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0003,BO407017000,00,01,02,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0004,BO338011000,01,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0007,BO338010000,01,02,00,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0009,BO407015000,01,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0011,BO407017000,00,03,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0012,BO407017000,00,04,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0016,BO407009000,00,00,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0018,BO520003007,07,07,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0019,BO338006000,00,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0020,BO338008000,00,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0021,BO410000100,00,00,00,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0022,BO407007000,00,01,03,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0024,BO338001000,01,02,02,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0027,BO338002000,03,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0030,BO410001000,00,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0031,BO410002000,00,00,00,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0032,BO410000100,00,00,00,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
0033,BO338007000,00,01,01,3.5 El agua utilizada para abastecimiento, ¿Posee tratamiento?,Si
